,회사명,모집내용,학력,연봉,주소,근무형태,경력,지원시작일,지원마감일,위도,경도
107,주식회사 파인비치,파인비치골프링크스 홍보마케팅담당자 모집,학력무관,3000만원 ~ 3100만원,전라남도 해남군 화원면 시아로 224,주5일근무,관계없음,2022-06-27,2022-07-11,34.6967179585997, 126.262401126232
108,(재)한국품질재단,2022년 상반기 신입 및 경력 공개채용,학력무관,200만원 ~ 300만원,서울특별시 금천구 가산디지털1로 168,주5일근무,관계없음,2022-06-23,2022-08-20,37.479966429878, 126.88263620024
109,에이엠스퀘어 주식회사,"에이엠스퀘어(주) 인공지능 개발자(CV, 이미지 ...",대졸(2~3년),300만원 ~ 700만원,경상북도 포항시 남구 청암로 87,주5일근무,관계없음,2022-06-17,2022-08-16,36.0127675065825, 129.323266571383
110,주식회사 세움비드,공공기관 전자입찰금액 분석팀 신입 직원 구인,대졸(2~3년),2500만원,서울특별시 성동구 아차산로 103,주5일근무,신입,2022-06-16,2022-08-15,37.545048444535, 127.055814549422
111,티쓰리큐(주),"인공지능, 빅데이터모델 개발자 모집(신입,경력3년...",대졸(2~3년),2800만원 ~ 3200만원,광주광역시 서구 경열로17번길 12,주5일근무,경력,2022-06-13,2022-08-12,35.1528345051285, 126.890238083547
112,주식회사 마크베이스,(주)마크베이스 API 클라우드 서비스(SaaS)...,학력무관,4000만원 ~ 8000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,2022-06-09,2022-07-31,37.4990862800943, 127.034141792509
113,주식회사 로고스데이터,Tableau 컨설턴트 (시각화 개발자) - 신입...,학력무관,3000만원 ~ 3500만원,경기도 성남시 분당구 판교로 286,주5일근무,신입,2022-06-07,2022-07-31,37.402715463726, 127.105964814842
114,코드테크,SW개발자(웹/빅데이터/인공지능)채용,학력무관,3000만원,충청북도 청주시 청원구 오창읍 중심상업로 32-13,주5일근무,관계없음,2022-06-07,2022-08-02,36.7140498123745, 127.431102324448
115,주식회사 퓨리움,"주식회사 퓨리움 - 연구기획,SW개발,디자인직원 ...",학력무관,2500만원 ~ 4000만원,경기도 용인시 처인구 양지면 한터로 339,주5일근무,관계없음,2022-06-02,2022-08-01,37.2578281885711, 127.243227567868
116,(주)케이스랩,(주)케이스랩 하반기 자율주행 SW 엔지니어 신입...,대졸(4년),200만원 ~ 300만원,광주광역시 북구 첨단과기로208번길 6,주5일근무,신입,2022-05-30,2022-07-26,35.225648776854, 126.847363855789
117,바이트댄스,[TikTok / 틱톡] Content quali...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,2022-05-26,2022-07-25,37.5075910839105, 127.060579419429
118,바이트댄스,[TikTok / 틱톡] Quality Analy...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,2022-05-26,2022-07-25,37.5075910839105, 127.060579419429
119,(주)아이티투게더,JAVA프로그래밍전문가/웹프로그램/응용프로그램 개...,학력무관,2900만원,대전광역시 유성구 온천로 59,주5일근무,관계없음,2022-05-26,2022-07-25,36.355601798345, 127.344588575888
120,(주)한솥,(주)한솥 디지털 기획 운영팀 IT담당 경력사원 ...,학력무관,3500만원 ~ 4000만원,서울특별시 강남구 강남대로 318,주5일근무,관계없음,2022-05-25,2022-07-24,37.4915693683974, 127.03118027892
121,나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 신입직...,대졸(2~3년),3500만원 ~ 3800만원,서울특별시 영등포구 은행로 30,주5일근무,신입,2022-05-25,2022-07-22,37.5281995830714, 126.922656059858
122,나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 경력직...,대졸(4년),3800만원 ~ 4200만원,서울특별시 영등포구 은행로 30,주5일근무,경력,2022-05-25,2022-07-22,37.5281995830714, 126.922656059858
123,(주)지오비전,데이터 분석 및 빅데이터 기반 딥러닝 경력/석사 ...,대졸(4년),3500만원,강원도 춘천시 강원대학길 1,주5일근무,경력,2022-05-23,2022-07-18,37.8680243076332, 127.748387408095
124,브래키츠,데이터 분석 및 시각화,학력무관,2800만원 ~ 4500만원,서울특별시 영등포구 국제금융로 20,주5일근무,경력,2022-05-23,2022-07-20,37.5248882861767, 126.927297465564
125,사회정보연구원,(연신내 / 사회정보연구원) 연구·일반 기획 정규...,대졸(4년),200만원 ~ 210만원,서울특별시 은평구 연서로26길 8,주5일근무,관계없음,2022-05-09,2022-07-08,37.6169336818402, 126.92033119179
