,직종코드,Unnamed: 1,Unnamed: 2,Unnamed: 3
1105,833000, , ,발전·배전 장치 조작원
1106,834000, , ,전기·전자 설비 조작원
1107,834001, , ,아파트 전기관리원
1108,834002, , ,빌딩 전기관리원
1109,834003, , ,공장 전기관리원
1110,834004, , ,기타 전기·전자 설비 조작원
1111,104, ,전기·전자 부품·제품 생산기계 조작, 
1112,835100, , ,전기 부품·제품 생산기계 조작원
1113,835200, , ,전자 부품·제품 생산기계 조작원
1114,105, ,전기·전자 부품·제품 조립, 
1115,817200, , ,자동차 부품 조립·검사원
1116,836000, , ,전기·전자 부품·제품 조립원
1117,836001, , ,전기 부품·제품 조립·검사원
1118,836002, , ,PCB 부품·제품 조립·검사원
1119,836003, , ,LCD 부품·제품 조립·검사원
1120,836004, , ,LED 부품·제품 조립·검사원
1121,836005, , ,통신기기 부품·제품 조립원(핸드폰)
1122,836006, , ,기타 전자 부품·제품 조립·검사원
1123,106, ,"정보통신기기 설치·수리(컴퓨터,핸드폰)", 
1124,841100, , ,컴퓨터 설치·수리원(컴퓨터A/S원)
1125,841200, , ,핸드폰(휴대폰) 수리원
1126,841900, , ,기타 정보통신기기 설치·수리원
1127,107, ,방송·통신장비 및 케이블 설치·수리, 
1128,842100, , ,방송장비 설치·수리원
1129,842200, , ,통신장비 설치·수리원
1130,842300, , ,방송·통신·인터넷 케이블 설치·수리원
1131,842301, , ,통신·인터넷 케이블 설치·수리원
1132,842302, , ,방송 케이블 설치·수리원
1133,11,설치·정비·생산-화학·환경·섬유·의복·식품가공, , 
1134,111, ,석유·화학물 가공장치 조작, 
1135,851101, , ,석유·천연가스 제조 제어장치 조작원
1136,851102, , ,폐유·재생유 처리 제어장치 조작원
1137,851200, , ,화학물 가공장치 조작원
1138,851900, , ,기타 석유·화학물 가공장치 조작원
1139,112, ,고무·플라스틱 및 화학제품 생산기계 조작, 
1140,852100, , ,타이어·고무제품 생산기계 조작원
1141,852101, , ,고무 사출성형기 조작원
1142,852102, , ,고무 압출성형기 조작원
1143,852103, , ,고무 프레스기 조작원
1144,852104, , ,타이어 생산기계 조작원
1145,852200, , ,플라스틱제품 생산기계 조작원
1146,852201, , ,플라스틱 사출성형기 조작원
1147,852202, , ,플라스틱 압출성형기 조작원
1148,852300, , ,화학제품 생산기계 조작원(고무·플라스틱 제외)
1149,852301, , ,도료·잉크제품 생산기계 조작원
1150,852302, , ,화장품·비누제품 생산기계 조작원
1151,852303, , ,의약품 생산기계 조작원
1152,852304, , ,농약·비료 생산기계 조작원
1153,852305, , ,기타 화학제품 생산기계 조작원
1154,852400, , ,고무·플라스틱 제품 조립원
1155,852401, , ,고무제품 조립원 및 검사원
1156,852402, , ,플라스틱제품 조립원 및 검사원
1157,113, ,환경 장치 조작(상하수도·재활용처리), 
1158,853100, , ,상·하수도 처리장치 조작원
1159,853101, , ,물펌프·정수 처리장치 조작원
1160,853102, , ,하수·폐수 처리장치 조작원
1161,853103, , ,"기타 상·하수도 처리장치 조작원(댐수문, 저수지)"
1162,853200, , ,재활용 처리장치·소각로 조작원
1163,853201, , ,소각로 조작원
1164,853202, , ,재활용 처리장치 조작원
1165,114, ,섬유 제조 및 가공 기계 조작, 
1166,861100, , ,"섬유 제조기계 조작원(방적,방사,연사,합사,권사기 등)"
1167,861200, , ,직조기·편직기 조작원
1168,861201, , ,제직기(직조기) 조작원
1169,861202, , ,편직기 조작원
1170,861203, , ,"기타 직조기·편직기 조작원(정단,정경,연경,통경기 등)"
1171,861204, , ,섬유가공 준비 및 후가공 처리원
1172,861300, , ,표백·염색기 조작원
1173,861301, , ,염색 준비 및 조색기 조작원
1174,861302, , ,정련·표백기 조작원
1175,861303, , ,염색기 조작원
1176,861304, , ,날염기 조작원(나염기)
1177,115, ,패턴·재단·재봉, 
1178,415201, , ,의상 디자이너
1179,862100, , ,패턴사
1180,862200, , ,재단사
1181,862300, , ,재봉사
1182,862301, , ,재봉사(의류·직물)
1183,862302, , ,가죽·모피·신발 재봉사
1184,862303, , ,기계 자수원
1185,862900, , ,의복·직물 검사 등 기타 섬유·가죽 기능원
1186,116, ,의복 제조 및 수선, 
1187,863100, , ,한복 제조원
1188,863200, , ,양장·양복 제조원
1189,863300, , ,모피·가죽의복 제조원
1190,863400, , ,의복·가죽·모피 수선원
1191,863900, , ,기타 의복 제조원
1192,117, ,"제화, 기타 섬유·의복 기계 조작", 
1193,864100, , ,제화원
1194,864200, , ,신발 제조기계 조작원 및 조립원
1195,864300, , ,세탁 기계 조작원
1196,864900, , ,기타 직물·신발 기계 조작원 및 조립원
1197,118, ,제과·제빵 및 떡 제조, 
1198,531201, , ,한식 조리사(일반 음식점)
1199,871100, , ,제과·제빵원
1200,871200, , ,떡 제조원(한과 포함)
